NaOH_Reading_(mL),NaOH_added_(mL),pH,Olhava_Greene
9.3,0,3.49,
10.2,0.9,3.51,
10.8,1.5,3.68,
11.2,1.9,3.74,
12,2.7,3.88,
13,3.7,4.05,
13.3,4,4.12,
13.6,4.3,4.17,
14,4.7,4.23,
14.6,5.3,4.34,
15.4,6.1,4.42,
16,6.7,4.5,
16.5,7.2,4.56,
17.1,7.8,4.62,
17.7,8.4,4.72,
18.5,9.2,4.77,
19.4,10.1,4.87,
20.6,11.3,5.01,
21.6,12.3,5.1,
22.7,13.4,5.24,
23.8,14.5,5.35,
24.1,14.8,5.39,
24.8,15.5,5.51,
25.1,15.8,5.53,
25.7,16.4,5.61,
26.7,17.4,5.73,
27.3,18,5.85,
27.7,18.4,5.93,
27.9,18.6,5.96,
28.3,19,6.04,
28.5,19.2,6.07,
28.8,19.5,6.17,
29,19.7,6.22,
29.2,19.9,6.3,
29.4,20.1,6.35,
29.7,20.4,6.47,
29.9,20.6,6.58,
30.1,20.8,6.65,
30.7,21.4,7.02,
30.9,21.6,7.4,
31.3,22,9.09,
31.6,22.3,10.12,
32,22.7,10.88,
32.6,23.3,10.91,
